table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...Native Hawaiian and Other Pacific Islander,"312,140","312,143","313,936","321,550","329,413","337,344","345,208","353,353","361,701","369,648","377,462","384,827"
.MALE,"151,781,326","151,788,777","152,074,758","153,200,058","154,374,397","155,481,926","156,654,424","157,856,394","159,021,785","160,045,920","160,885,734","161,657,324"
..One Race:,,,,,,,,,,,,
...White,"119,698,920","119,703,376","119,853,451","120,398,942","120,971,904","121,480,778","122,028,705","122,585,081","123,121,893","123,564,541","123,908,468","124,192,315"
...Black or African American,"19,205,040","19,207,770","19,259,242","19,475,259","19,700,010","19,914,792","20,134,407","20,357,221","20,573,703","20,771,389","20,945,087","21,113,340"
...American Indian and Alaska Native,"1,889,695","1,889,767","1,895,989","1,919,837","1,945,629","1,970,187","1,994,980","2,020,183","2,044,700","2,067,292","2,088,432","2,108,806"
...Asian,"7,218,477","7,218,565","7,267,213","7,484,579","7,711,570","7,944,164","8,195,622","8,460,363","8,714,985","8,948,460","9,127,842","9,307,605"
...Native Hawaiian and Other Pacific Islander,"342,904","342,917","344,654","351,831","358,940","366,662","373,320","380,838","388,657","395,819","402,459","408,958"
..Two or More Races,"3,426,290","3,426,382","3,454,209","3,569,610","3,686,344","3,805,343","3,927,390","4,052,708","4,177,847","4,298,419","4,413,446","4,526,300"
..Race Alone or in Combination:1,,,,,,,,,,,,
...White,"122,716,053","122,720,574","122,896,495","123,548,726","124,229,396","124,847,948","125,508,388","126,180,216","126,832,381","127,386,388","127,836,959","128,225,442"
...Black or African American,"20,632,690","20,635,471","20,702,043","20,980,868","21,268,887","21,547,936","21,833,779","22,124,598","22,409,303","22,673,523","22,912,168","23,143,558"
...American Indian and Alaska Native,"3,054,732","3,054,828","3,065,927","3,109,013","3,154,567","3,199,036","3,244,126","3,290,325","3,336,138","3,378,337","3,417,901","3,455,822"
